# CSV-File created with merge-csv.com
# -----------------------------------------------------------

DATE,TOTDTEUSQ163N
2017-01-01,1.9
2017-04-01,2.3
2017-07-01,2.9
2017-10-01,3.8
2018-01-01,3.1
2018-04-01,3.4
2018-07-01,1.9
2018-10-01,0.9
2019-01-01,2.4
2019-04-01,3.2
2019-07-01,2.8
2019-10-01,1.9
2020-01-01,-5.1
2020-04-01,-31.2
2020-07-01,33.8
2020-10-01,4.5
2021-01-01,6.3
2021-04-01,6.7
2021-07-01,2.3
2021-10-01,6.9
2022-01-01,-1.6
2022-04-01,-0.6
1919-01-01,4.8773
1919-02-01,4.6617
1919-03-01,4.5270
1919-04-01,4.6078
1919-05-01,4.6348
1919-06-01,4.9312
1919-07-01,5.2276
1919-08-01,5.3084
1919-09-01,5.2006
1919-10-01,5.1467
1919-11-01,5.0659
1919-12-01,5.1467
1920-01-01,5.6318
1920-02-01,5.6318
1920-03-01,5.5240
1920-04-01,5.2276
1920-05-01,5.3623
1920-06-01,5.4162
1920-07-01,5.2815
1920-08-01,5.3084
1920-09-01,5.1198
1920-10-01,4.9042
1920-11-01,4.5000
1920-12-01,4.2306
1921-01-01,3.9881
1921-02-01,3.9072
1921-03-01,3.7994
1921-04-01,3.7994
1921-05-01,3.9072
1921-06-01,3.8803
1921-07-01,3.8533
1921-08-01,3.9881
1921-09-01,4.0150
1921-10-01,4.2575
1921-11-01,4.2036
1921-12-01,4.1767
1922-01-01,4.3384
1922-02-01,4.5270
1922-03-01,4.7695
1922-04-01,4.6078
1922-05-01,4.8503
1922-06-01,5.0929
1922-07-01,5.0929
1922-08-01,4.9851
1922-09-01,5.2545
1922-10-01,5.5509
1922-11-01,5.7935
1922-12-01,5.9551
1923-01-01,5.8204
1923-02-01,5.9012
1923-03-01,6.0899
1923-04-01,6.2246
1923-05-01,6.3054
1923-06-01,6.2515
1923-07-01,6.1977
1923-08-01,6.0899
1923-09-01,5.9551
1923-10-01,5.9282
1923-11-01,5.9282
1923-12-01,5.7935
1924-01-01,5.9282
1924-02-01,6.0360
1924-03-01,5.9282
1924-04-01,5.7396
1924-05-01,5.4970
1924-06-01,5.2545
1924-07-01,5.1737
1924-08-01,5.3623
1924-09-01,5.5509
1924-10-01,5.6857
1924-11-01,5.7935
1924-12-01,5.9551
1925-01-01,6.1438
1925-02-01,6.1438
1925-03-01,6.1438
1925-04-01,6.1977
1925-05-01,6.1707
1925-06-01,6.1168
1925-07-01,6.2785
1925-08-01,6.1707
1925-09-01,6.0899
1925-10-01,6.3324
1925-11-01,6.4671
1925-12-01,6.5480
1926-01-01,6.4402
1926-02-01,6.4402
1926-03-01,6.5210
1926-04-01,6.5210
1926-05-01,6.4671
1926-06-01,6.5479
1926-07-01,6.5749
1926-08-01,6.6557
1926-09-01,6.7635
1926-10-01,6.7635
1926-11-01,6.7366
1926-12-01,6.7096
1927-01-01,6.6827
1927-02-01,6.7366
1927-03-01,6.8174
1927-04-01,6.6557
1927-05-01,6.7096
1927-06-01,6.6827
1927-07-01,6.6018
1927-08-01,6.6018
1927-09-01,6.4941
1927-10-01,6.3593
1927-11-01,6.3593
1927-12-01,6.3863
1928-01-01,6.5210
1928-02-01,6.5749
1928-03-01,6.6288
1928-04-01,6.6018
1928-05-01,6.6827
1928-06-01,6.7366
1928-07-01,6.8174
1928-08-01,6.9522
1928-09-01,7.0060
1928-10-01,7.1408
1928-11-01,7.2755
1928-12-01,7.4102
1929-01-01,7.5180
1929-02-01,7.4911
1929-03-01,7.5180
1929-04-01,7.6528
1929-05-01,7.7875
1929-06-01,7.8414
1929-07-01,7.9492
1929-08-01,7.8683
1929-09-01,7.8144
1929-10-01,7.6797
1929-11-01,7.3025
1929-12-01,6.9791
1930-01-01,6.9791
1930-02-01,6.9521
1930-03-01,6.8444
1930-04-01,6.7905
1930-05-01,6.6827
1930-06-01,6.4941
1930-07-01,6.1977
1930-08-01,6.0629
1930-09-01,5.9551
1930-10-01,5.7935
1930-11-01,5.6587
1930-12-01,5.5240
1931-01-01,5.4970
1931-02-01,5.5240
1931-03-01,5.6318
1931-04-01,5.6587
1931-05-01,5.5779
1931-06-01,5.4432
1931-07-01,5.3623
1931-08-01,5.1737
1931-09-01,4.9312
1931-10-01,4.7426
1931-11-01,4.6887
1931-12-01,4.6617
1932-01-01,4.5270
1932-02-01,4.4192
1932-03-01,4.3653
1932-04-01,4.0689
1932-05-01,3.9342
1932-06-01,3.7994
1932-07-01,3.6916
1932-08-01,3.7994
1932-09-01,4.0419
1932-10-01,4.1767
1932-11-01,4.1767
1932-12-01,4.0958
1933-01-01,4.0150
1933-02-01,4.0419
1933-03-01,3.7994
1933-04-01,4.0689
1933-05-01,4.7426
1933-06-01,5.4701
1933-07-01,5.9821
1933-08-01,5.7396
1933-09-01,5.4162
1933-10-01,5.1467
1933-11-01,4.8503
1933-12-01,4.8773
1934-01-01,5.0390
1934-02-01,5.2815
1934-03-01,5.5240
1934-04-01,5.5240
1934-05-01,5.6318
1934-06-01,5.5240
1934-07-01,5.1467
1934-08-01,5.0929
1934-09-01,4.7964
1934-10-01,5.0120
1934-11-01,5.0659
1934-12-01,5.3893
1935-01-01,5.8204
1935-02-01,5.9282
1935-03-01,5.9012
1935-04-01,5.7935
1935-05-01,5.7935
1935-06-01,5.8743
1935-07-01,5.8743
1935-08-01,6.0899
1935-09-01,6.2515
1935-10-01,6.4402
1935-11-01,6.5749
1935-12-01,6.6557
1936-01-01,6.5480
1936-02-01,6.3863
1936-03-01,6.4671
1936-04-01,6.8713
1936-05-01,7.0060
1936-06-01,7.1408
1936-07-01,7.2755
1936-08-01,7.3833
1936-09-01,7.5180
1936-10-01,7.6258
1936-11-01,7.8414
1936-12-01,8.0839
1937-01-01,8.0569
1937-02-01,8.1647
1937-03-01,8.3534
1937-04-01,8.3534
1937-05-01,8.3803
1937-06-01,8.2725
1937-07-01,8.3264
1937-08-01,8.2725
1937-09-01,8.0031
1937-10-01,7.4102
1937-11-01,6.6827
1937-12-01,6.0899
1938-01-01,5.9551
1938-02-01,5.9012
1938-03-01,5.9012
1938-04-01,5.7935
1938-05-01,5.6587
1938-06-01,5.7126
1938-07-01,6.0360
1938-08-01,6.3593
1938-09-01,6.5480
1938-10-01,6.7096
1938-11-01,6.9791
1938-12-01,7.0599
1939-01-01,7.0599
1939-02-01,7.1138
1939-03-01,7.1408
1939-04-01,7.1138
1939-05-01,7.0869
1939-06-01,7.2486
1939-07-01,7.4641
1939-08-01,7.5719
1939-09-01,8.0300
1939-10-01,8.4342
1939-11-01,8.6498
1939-12-01,8.6498
1940-01-01,8.5420
1940-02-01,8.2725
1940-03-01,8.0839
1940-04-01,8.2456
1940-05-01,8.4881
1940-06-01,8.7575
1940-07-01,8.8653
1940-08-01,8.9192
1940-09-01,9.1079
1940-10-01,9.2426
1940-11-01,9.4582
1940-12-01,9.7815
1941-01-01,10.0240
1941-02-01,10.3204
1941-03-01,10.6438
1941-04-01,10.6707
1941-05-01,11.1558
1941-06-01,11.2366
1941-07-01,11.3713
1941-08-01,11.5061
1941-09-01,11.5061
1941-10-01,11.6139
1941-11-01,11.6678
1941-12-01,11.8564
1942-01-01,12.0989
1942-02-01,12.3145
1942-03-01,12.4492
1942-04-01,12.0989
1942-05-01,12.1258
1942-06-01,12.1528
1942-07-01,12.4492
1942-08-01,12.8264
1942-09-01,13.1229
1942-10-01,13.5540
1942-11-01,13.8774
1942-12-01,14.2007
1943-01-01,14.3355
1943-02-01,14.7127
1943-03-01,14.8205
1943-04-01,15.0091
1943-05-01,15.1169
1943-06-01,15.0361
1943-07-01,15.4941
1943-08-01,15.8175
1943-09-01,16.2217
1943-10-01,16.4642
1943-11-01,16.6798
1943-12-01,16.4642
1944-01-01,16.6528
1944-02-01,16.7876
1944-03-01,16.7606
1944-04-01,16.7606
1944-05-01,16.6528
1944-06-01,16.5989
1944-07-01,16.5720
1944-08-01,16.7876
1944-09-01,16.6798
1944-10-01,16.7337
1944-11-01,16.5989
1944-12-01,16.5450
1945-01-01,16.3834
1945-02-01,16.3295
1945-03-01,16.2217
1945-04-01,15.9253
1945-05-01,15.4941
1945-06-01,15.1438
1945-07-01,14.7935
1945-08-01,13.2576
1945-09-01,12.0720
1945-10-01,11.5869
1945-11-01,12.0181
1945-12-01,12.0720
1946-01-01,11.3983
1946-02-01,10.8324
1946-03-01,11.9642
1946-04-01,11.7486
1946-05-01,11.3175
1946-06-01,12.0181
1946-07-01,12.4223
1946-08-01,12.8803
1946-09-01,13.1229
1946-10-01,13.3654
1946-11-01,13.4462
1946-12-01,13.5271
1947-01-01,13.6887
1947-02-01,13.7696
1947-03-01,13.8504
1947-04-01,13.7426
1947-05-01,13.7965
1947-06-01,13.7965
1947-07-01,13.7157
1947-08-01,13.7965
1947-09-01,13.9043
1947-10-01,14.0390
1947-11-01,14.2277
1947-12-01,14.2815
1948-01-01,14.3624
1948-02-01,14.3893
1948-03-01,14.2277
1948-04-01,14.2546
1948-05-01,14.4971
1948-06-01,14.6857
1948-07-01,14.6857
1948-08-01,14.6318
1948-09-01,14.5241
1948-10-01,14.6319
1948-11-01,14.4432
1948-12-01,14.3085
1949-01-01,14.1738
1949-02-01,14.0390
1949-03-01,13.7696
1949-04-01,13.6887
1949-05-01,13.5001
1949-06-01,13.4732
1949-07-01,13.4462
1949-08-01,13.5809
1949-09-01,13.7157
1949-10-01,13.2037
1949-11-01,13.5540
1949-12-01,13.7965
1950-01-01,14.0390
1950-02-01,14.0929
1950-03-01,14.5510
1950-04-01,15.0360
1950-05-01,15.3863
1950-06-01,15.8444
1950-07-01,16.3564
1950-08-01,16.8684
1950-09-01,16.7606
1950-10-01,16.8684
1950-11-01,16.8415
1950-12-01,17.1379
1951-01-01,17.1917
1951-02-01,17.2995
1951-03-01,17.3804
1951-04-01,17.4073
1951-05-01,17.3534
1951-06-01,17.2726
1951-07-01,17.0031
1951-08-01,16.8415
1951-09-01,16.9492
1951-10-01,16.9223
1951-11-01,17.0570
1951-12-01,17.1648
1952-01-01,17.3534
1952-02-01,17.4612
1952-03-01,17.5151
1952-04-01,17.3534
1952-05-01,17.1918
1952-06-01,17.0301
1952-07-01,16.7606
1952-08-01,17.8385
1952-09-01,18.4852
1952-10-01,18.6738
1952-11-01,19.0511
1952-12-01,19.1588
1953-01-01,19.2127
1953-02-01,19.3205
1953-03-01,19.4822
1953-04-01,19.5630
1953-05-01,19.6708
1953-06-01,19.5900
1953-07-01,19.8325
1953-08-01,19.7247
1953-09-01,19.3205
1953-10-01,19.1588
1953-11-01,18.7008
1953-12-01,18.2427
1954-01-01,18.1079
1954-02-01,18.1618
1954-03-01,18.0540
1954-04-01,17.9462
1954-05-01,18.0540
1954-06-01,18.1079
1954-07-01,18.1349
1954-08-01,18.1079
1954-09-01,18.1349
1954-10-01,18.3505
1954-11-01,18.6469
1954-12-01,18.8894
1955-01-01,19.3205
1955-02-01,19.5630
1955-03-01,20.0211
1955-04-01,20.2636
1955-05-01,20.5870
1955-06-01,20.6139
1955-07-01,20.7756
1955-08-01,20.7487
1955-09-01,20.8834
1955-10-01,21.2337
1955-11-01,21.2876
1955-12-01,21.3684
1956-01-01,21.5032
1956-02-01,21.3145
1956-03-01,21.3145
1956-04-01,21.4762
1956-05-01,21.2876
1956-06-01,21.0990
1956-07-01,20.4522
1956-08-01,21.2876
1956-09-01,21.7726
1956-10-01,21.9613
1956-11-01,21.7726
1956-12-01,22.0960
1957-01-01,22.0151
1957-02-01,22.2307
1957-03-01,22.2038
1957-04-01,21.9074
1957-05-01,21.8265
1957-06-01,21.8804
1957-07-01,22.0151
1957-08-01,22.0152
1957-09-01,21.8265
1957-10-01,21.5032
1957-11-01,20.9912
1957-12-01,20.5870
1958-01-01,20.2097
1958-02-01,19.7786
1958-03-01,19.5361
1958-04-01,19.2127
1958-05-01,19.4013
1958-06-01,19.9133
1958-07-01,20.2097
1958-08-01,20.6139
1958-09-01,20.8026
1958-10-01,21.0451
1958-11-01,21.6649
1958-12-01,21.6918
1959-01-01,22.0151
1959-02-01,22.4463
1959-03-01,22.7696
1959-04-01,23.2547
1959-05-01,23.6050
1959-06-01,23.6319
1959-07-01,23.0660
1959-08-01,22.2846
1959-09-01,22.2577
1959-10-01,22.0960
1959-11-01,22.2307
1959-12-01,23.6050
1960-01-01,24.2247
1960-02-01,24.0092
1960-03-01,23.7936
1960-04-01,23.6050
1960-05-01,23.5780
1960-06-01,23.2816
1960-07-01,23.2008
1960-08-01,23.1738
1960-09-01,22.9313
1960-10-01,22.9044
1960-11-01,22.5810
1960-12-01,22.1499
1961-01-01,22.1768
1961-02-01,22.1499
1961-03-01,22.2846
1961-04-01,22.7427
1961-05-01,23.0930
